in_demand,state,amount_raised_usd,audio,art,podcasts_vlogs,launched,currency_HKD
False,0,0.0001000810423432,0,0,0,0.7377509312841042,False
False,0,5.969865705309087e-05,1,0,0,0.673525491264046,False
False,0,5.910521523959777e-06,0,0,0,0.1025352757995206,False
False,1,0.0115535919489603,0,0,0,0.6512489110273227,False
True,1,0.003596438683454,0,0,0,0.984220618046966,False
True,1,0.0006328504633451,0,0,0,0.9614876070530743,False
False,0,2.045949758293769e-06,0,0,0,0.5658459716506394,False
False,0,1.2090629322716514e-05,0,0,0,0.6065285094113451,False
False,0,5.109191201961384e-05,0,0,0,0.9309986348494448,False
False,0,0.0010975383814491,0,0,0,0.6676685410316461,False
False,0,2.5233380352289812e-05,0,0,0,0.4773954441207282,False
True,1,0.1532220298776863,0,0,0,0.7552858530566482,False
True,1,0.0008406580229078,0,0,0,0.9435686509815228,False
False,0,7.956471282253545e-06,0,0,0,0.7453894355242463,False
False,0,0.0002100508418514,0,0,0,0.3200272060615114,False
False,0,2.051632952066807e-05,0,0,0,0.501429279058005,False
False,0,7.217656091758574e-05,0,0,0,0.7127902495751819,False
False,1,0.0002676215947723,1,0,0,0.8035647721310957,False
False,0,4.819348319536433e-05,0,0,0,0.8916839035427335,False
False,0,0.0002283507258006,0,0,0,0.8100139630319569,False
False,0,8.91693102989701e-05,0,0,0,0.6613248648421459,False
True,1,0.0048629952477133,0,0,0,0.9489175909209964,False
False,0,6.4788409012636015e-06,0,0,0,0.9531967484443912,False
False,0,1.3298673428909497e-05,0,0,0,0.8742998386792209,False
False,0,7.558647718140868e-06,0,0,0,0.7653863135740222,False
False,1,0.037695857037347,0,0,0,0.903719025371318,True
False,0,0.000466874368455,0,0,0,0.7040367135848831,False
False,0,1.2109103896648442e-06,0,0,0,0.9994651056965074,False
False,0,7.018744309702235e-05,0,0,0,0.5671643096679198,False
False,0,0.0002133470942398,0,0,0,0.4719137154322315,False
False,0,3.5720352190480444e-05,0,0,0,0.5368759661644438,False
False,1,0.0005693991841207,0,0,0,0.7615013155768731,False
True,0,0.0007640485708472,0,0,0,0.9860927481091908,False
False,0,2.6441550232343063e-05,1,0,0,0.933673106366908,False
False,0,2.975748816911197e-05,0,0,0,0.5147516172179483,False
False,0,0.000146058079967,0,0,0,0.4633580810478657,False
False,0,4.359009623920335e-05,0,0,0,0.869753237099534,False
False,0,0.0003997185035414,0,0,0,0.8224150912404316,False
True,0,0.002806417917064,0,0,0,0.5684798710637287,False
False,0,5.683193773038247e-06,0,0,0,0.4748099452130176,False
False,1,0.0039170844761288,0,0,0,0.9991976585447616,False
False,0,4.540871824657559e-05,0,0,0,0.7619008519052324,False
False,0,4.37605920523945e-06,0,0,0,0.4715488017473017,False
False,0,8.324651473728373e-06,0,0,0,0.858520456726187,False
False,0,3.353084326092565e-05,0,0,0,0.5815395785970194,False
True,0,0.0023465907088874,0,0,0,0.9638946345142444,False
False,0,5.796857648499012e-06,0,0,0,0.6783095017181591,False
False,0,0.0003711125533793,0,0,0,0.6452090783276496,False
False,1,0.0234004366966095,0,0,0,0.6713074474082976,False
False,0,9.428418469470452e-05,0,0,0,0.9580107971758248,False
False,0,0.0001527074166815,0,0,0,0.8323106358550465,False
False,0,9.002178936492584e-05,0,0,0,0.9403592851605672,False
True,1,0.0445544205586124,0,0,0,0.856113429265017,False
False,0,0.0001221318341825,0,0,0,0.697692953818148,False
False,0,3.2962523883621834e-06,0,0,0,0.4852779567414016,False
False,1,0.0080684870315201,1,0,0,0.5785032857523182,False
False,0,0.001319523930224,1,0,0,0.9112075456202158,False
False,0,4.474540032728692e-05,0,0,0,0.2651840535700609,False
False,0,1.932285882833004e-06,0,0,0,0.4960054941569334,False
False,1,0.0122137517376364,0,0,0,0.8785789900117091,False
False,0,1.079806816877267e-06,0,0,0,0.2681941248311688,False
False,0,0.000101388176911,0,0,0,0.4173461294661269,False
False,0,4.42765460798032e-05,0,0,0,0.652183703827192,False
False,0,4.201971839790952e-07,0,0,0,0.524611721989503,False
True,1,0.000274536156176,0,0,0,0.9839531708952204,False
False,0,3.398549876276872e-05,0,0,0,0.5273669384022597,False
